Func_Name                       Endpoint                      Async_Only Description
recognize_speech                recognizespeech               true       "Transcribes speech to text from a video or audio file."
cancel_connector_schedule       cancelconnectorschedule       false      "Cancels a connector schedule."
connector_history               connectorhistory              false      "Returns connector status history information."
connector_status                connectorstatus               false      "Returns connector status information."
create_connector                createconnector               false      "Creates a connector."
delete_connector                deleteconnector               false      "Delete a connector."
retrieve_config                 retrieveconfig                false      "Retrieves a connector configuration."
start_connector                 startconnector                false      "Starts a connector."
stop_connector                  stopconnector                 false      "Stops a running connector."
update_connector                updateconnector               false      "Updates a connector."
expand_container                expandcontainer               false      "Extracts the contents of a container file."
store_object                    storeobject                   false      "Stores a file."
extract_text                    extracttext                   false      "Extracts text from a file."
view_document                   viewdocument                  false      "Converts a document to HTML format for viewing in a Web browser."
ocr_document                    ocrdocument                   false      "Extracts text from an image."
recognize_barcodes              recognizebarcodes             false      "Detects and decodes 1D and 2D barcodes in an image that you provide."
detect_faces                    detectfaces                   false      "Detects faces in an image."
recognize_images                recognizeimages               false      "Recognizes a known set of images in an image that you provide."
get_common_neighbors            getcommonneighbors            false      "Finds the common neighbors of the nodes that you specify."
get_neighbors                   getneighbors                  false      "List the neighbors of one or more specified nodes."
get_nodes                       getnodes                      false      "Lists the nodes in your graph."
get_shortest_path               getshortestpath               false      "Finds the shortest path in the graph between two specified nodes."
get_sub_graph                   getsubgraph                   false      "Returns a subgraph based on a set of nodes that you provide."
suggest_links                   suggestlinks                  false      "Suggests nodes that a specified node is close to in the graph, but that it does not currently connect to."
summarize_graph                 summarizegraph                false      "Returns a summary of what is in the graph."
create_classification_objects   createclassificationobjects   false      "Create objects supporting document classification."
create_policy_objects           createpolicyobjects           false      "Create policies or policy types."
delete_classification_objects   deleteclassificationobjects   false      "Delete objects supporting document classification."
delete_policy_objects           deletepolicyobjects           false      "Delete policies or policy types."
retrieve_classification_objects retrieveclassificationobjects false      "Retrieve objects supporting document classification."
retrieve_policy_objects         retrievepolicyobjects         false      "Retrieve policies or policy types."
update_classification_objects   updateclassificationobjects   false      "Update objects supporting document classification."
update_policy_objects           updatepolicyobjects           false      "Update policies or policy types."
predict                         predict                       false      "Runs the prediction model on the provided data."
recommend                       recommend                     false      "Runs the prediction model on the provided data, and provide desired recommendations."
train_predictor                 trainpredictor                false      "Trains a prediction model."
create_query_profile            createqueryprofile            false      "Create a query profile."
delete_query_profile            deletequeryprofile            false      "Delete a query profile."
retrieve_query_profile          retrievequeryprofile          false      "Retrieve a query profile."
update_query_profile            updatequeryprofile            false      "Update a query profile."
find_related_concepts           findrelatedconcepts           false      "Returns the best terms and phrases in documents that match the specified query."
find_similar                    findsimilar                   false      "Finds documents that are conceptually similar to your text or a document."
get_content                     getcontent                    false      "Display the content of one or more specified documents or document sections."
get_parametric_values           getparametricvalues           false      "Performs parametric search that combines query text with one or more parametric field names."
query_text_index                querytextindex                false      "Searches for items that match your specified natural language text, Boolean expressions, or fields."
retrieve_index_fields           retrieveindexfields           false      "Retrieves the ingested fields for a specified field type or for all field types."
auto_complete                   autocomplete                  false      "Completes a word fragment."
classify_document               classifydocument              false      "Classifies a document into predefined collections."
extract_concepts                extractconcepts               false      "Extracts the key concepts from the text you submit."
categorize_document             categorizedocument            false      "Searches for categories that match a specified document."
entity_extraction               extractentities               false      "Extracts entities (words, phrases, or blocks of information) from your input text."
expand_terms                    expandterms                   false      "Returns a list of matching possible terms for a wildcard, stem, or fuzzy expansion."
highlight_text                  highlighttext                 false      "Highlights the specified terms in the text you submit."
identify_language               identifylanguage              false      "Identifies the language of a piece of text."
analyze_sentiment               analyzesentiment              false      "Analyzes text for positive or negative sentiment."
tokenize_text                   tokenizetext                  false      "Returns information about the terms in the specified text."
add_to_text_index               addtotextindex                false      "Indexes a document."
create_text_index               createtextindex               false      "Creates a text index."
delete_text_index               deletetextindex               false      "Deletes a text index."
delete_from_text_index          deletefromtextindex           false      "Deletes a document from the index."
index_status                    indexstatus                   false      "Returns index status information."
list_resources                  listresources                 false      "Lists your dynamic resources."
restore_text_index              restoretextindex              false      "Restores a text index at a previous state."
